LandisData  EcoregionParameters
EcoregionParameters PrecLossFrac climateFileName SoilType RootingDepth LeakageFrac SnowSublimFrac
eco11  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/1_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco12  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/1_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco13  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/1_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco14  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/1_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco15  0.87     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/1_june_2016_cr_HADGErcp85_climate.txt SILT 1000 1 0.15
eco16  0.42     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/1_june_2016_cr_HADGErcp85_climate.txt LOAM 1000 1 0.15
eco17  0.44     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/1_june_2016_cr_HADGErcp85_climate.txt SAND 1000 1 0.15
eco21  0.58     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/2_june_2016_cr_HADGErcp85_climate.txt SILO 1000 1 0.15
eco22  0.34     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/2_june_2016_cr_HADGErcp85_climate.txt SALO 1000 1 0.15
eco23  0.35     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/2_june_2016_cr_HADGErcp85_climate.txt LOSA 1000 1 0.15
eco24  0.53     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/2_june_2016_cr_HADGErcp85_climate.txt CLAY 1000 1 0.15
eco25  0.87     Y:/LANDIS_INPUTS/climate_data/pnet_climate/HADGE_june_2016_25NC/2_june_2016_cr_HADGErcp85_climate.txt SILT 1000 1 0.15
